,0
0,-0.09191506000000006
1,-0.053191239999999876
2,0.012400719999999973
3,0.20582816000000015
4,-0.1741393300000002
5,-0.07190706000000005
6,-0.26835084
7,-0.03503315999999992
8,-0.049816270000000135
9,0.0843219299999997
10,0.06794264000000036
11,-0.18179955999999994
12,-0.05898472999999998
13,0.038008000000000236
14,-0.10210983999999997
15,-0.021114199999999955
16,-0.08787104999999994
17,-0.1929944700000002
18,-0.07158106000000006
19,0.13154132000000007
20,0.035937690000000064
21,-0.12559820999999996
22,0.009532169999999809
23,0.009429560000000288
24,0.07670114999999991
25,0.17270778000000003
26,-0.2905716099999994
27,-0.06810196999999986
28,0.18209707000000006
29,-0.0029176999999999532
30,0.5104303900000001
31,0.08186284999999986
32,-0.27933553000000005
33,-0.03333894999999984
34,0.10829314999999991
35,-0.1986436200000001
36,0.43411890000000014
37,-0.1855345399999998
38,-0.13852081000000016
39,-0.05419079999999993
40,0.0997271000000001
41,-0.33347211999999987
42,0.16904745000000043
43,-0.29483406000000006
44,-0.06864647999999987
45,0.07909236999999988
46,-0.08142745999999997
47,0.3707727900000003
48,1.4617438000000003
49,0.02441564000000013
50,0.05421480000000005
51,-0.33001242000000003
52,0.09225017999999993
53,-0.11680308999999997
54,0.26955721999999976
55,0.21352526000000002
56,-0.0641274099999998
57,-0.12768573000000022
58,0.021346279999999912
59,-0.061741940000000294
60,-0.36425546999999997
61,-0.28502193000000003
62,0.03947717000000004
63,0.87750951
64,0.024980359999999986
65,-0.2586672099999997
66,-0.28239207999999993
67,-0.05632007000000006
68,-0.25656737000000024
69,0.014527670000000041
70,-0.13775720999999996
71,0.2780951799999997
72,-0.23773119000000006
73,0.3632790299999998
74,0.2294881299999999
75,0.1284558999999999
76,0.010480970000000322
