x,close
2016-12-30,39.68
2016-12-29,38.1
2016-12-28,38.01
2016-12-27,38.34
2016-12-26,37.66
2016-12-23,37.72
2016-12-22,38.76
2016-12-21,38.5
2016-12-20,38.55
2016-12-19,39.03
2016-12-16,38.64
2016-12-15,37.51
2016-12-14,37.34
2016-12-13,36.98
2016-12-12,37.17
2016-12-09,39.23
2016-12-08,39.98
2016-12-07,39.26
2016-12-06,38.94
2016-12-05,38.62
2016-12-02,39.3
2016-12-01,39.84
2016-11-30,38.91
2016-11-29,39.76
2016-11-28,40.13
2016-11-25,40.14
2016-11-24,41.24
2016-11-23,42.36
2016-11-22,42.54
2016-11-21,42.04
2016-11-18,41.67
2016-11-17,42.48
2016-11-16,42.03
2016-11-15,42.21
2016-11-14,41.56
2016-11-11,44.9
2016-11-10,44.8
2016-11-09,44.53
2016-11-08,45.14
2016-11-07,44.61
2016-11-04,45.21
2016-11-03,46.69
2016-11-02,42.78
2016-11-01,43.91
2016-10-31,41.91
2016-10-28,42.33
2016-10-27,42.69
2016-10-26,43.78
2016-10-25,43.05
2016-10-24,43.18
2016-10-21,44.06
2016-10-20,44.01
2016-10-19,41.81
2016-10-18,41.77
2016-10-17,41.42
2016-10-14,41.43
2016-10-13,42.38
2016-10-12,42.5
2016-10-11,43.08
2016-10-10,40.41
2016-09-30,40.15
2016-09-29,40.81
2016-09-28,41.01
2016-09-27,41.18
2016-09-26,41.28
2016-09-23,41.81
2016-09-22,44.22
2016-09-21,42.75
2016-09-20,42.75
2016-09-19,40.13
2016-09-14,39.97
2016-09-13,38.04
2016-09-12,38.04
2016-09-09,38.6
2016-09-08,38.63
2016-09-07,38.83
2016-09-06,37.54
2016-09-05,36.18
2016-09-02,36.01
2016-09-01,36.37
2016-08-31,36.4
2016-08-30,36.57
2016-08-29,35.69
2016-08-26,36.78
2016-08-25,36.43
2016-08-24,34.15
2016-08-23,32.91
2016-08-22,32.16
2016-08-19,33.25
2016-08-18,32.8
2016-08-17,32.92
2016-08-16,32.88
2016-08-15,33.01
2016-08-12,32.62
2016-08-11,32.2
2016-08-10,32.81
2016-08-09,32.94
2016-08-08,31.59
2016-08-05,31.53
2016-08-04,31.54
2016-08-03,31.56
2016-08-02,30.97
2016-08-01,30.81
2016-07-29,31.48
2016-07-28,31.76
2016-07-27,31.78
2016-07-26,33.89
2016-07-25,33.63
2016-07-22,34.17
2016-07-21,33.57
2016-07-20,33.8
2016-07-19,34.3
2016-07-18,34.08
2016-07-15,34.63
2016-07-14,32.67
2016-07-13,32.17
2016-07-12,31.88
2016-07-11,32.1
2016-07-08,32.36
2016-07-07,32.33
2016-07-06,32.56
2016-07-05,32.67
2016-07-04,31.38
2016-07-01,30.91
2016-06-30,30.99
2016-06-29,30.69
2016-06-28,30.75
2016-06-27,30.34
2016-06-24,29.87
2016-06-23,30.35
2016-06-22,30.02
2016-06-21,29.51
2016-06-20,29.99
2016-06-17,30.35
2016-06-16,29.92
2016-06-15,30.25
2016-06-14,29.21
2016-06-13,28.86
2016-06-08,31.48
2016-06-07,31.6
2016-06-06,31.93
2016-06-03,31.9
2016-06-02,32.5
2016-06-01,32.25
2016-05-31,32.29
2016-05-30,30.84
2016-05-27,32.37
2016-05-26,31.62
2016-05-25,30.97
2016-05-24,30.21
2016-05-23,31.46
2016-05-20,28.81
2016-05-19,28.44
2016-05-18,28.23
2016-05-17,29.13
2016-05-16,29.09
2016-05-13,28.43
2016-05-12,28.12
2016-05-11,27.59
2016-05-10,28.67
2016-05-09,28.52
2016-05-06,31.68
2016-05-05,33.94
2016-05-04,34.17
2016-05-03,33.98
2016-04-29,33.52
2016-04-28,33.72
2016-04-27,34.78
2016-04-26,34.29
2016-04-25,33.34
2016-04-22,33.88
2016-04-21,32.25
2016-04-20,33.29
2016-04-19,36.86
2016-04-18,37.54
2016-04-15,39.46
2016-04-14,37.14
2016-04-13,35.85
2016-04-12,35.25
2016-04-11,35.65
2016-04-08,33.97
2016-04-07,34.79
2016-04-06,35.75
2016-04-05,36.08
2016-04-01,34.91
2016-03-31,35.95
2016-03-30,33.28
2016-03-29,32.07
2016-03-28,31.61
2016-03-25,30.65
2016-03-24,30.04
2016-03-23,30.27
2016-03-22,30.24
2016-03-21,30.55
2016-03-18,30.25
2016-03-17,29.85
2016-03-16,29.11
2016-03-15,26.47
2016-03-14,26.0
2016-03-11,25.03
2016-03-10,26.05
2016-03-09,25.57
2016-03-08,26.08
2016-03-07,25.74
2016-03-04,24.72
2016-03-03,26.26
2016-03-02,26.26
2016-03-01,24.87
2016-02-29,24.3
2016-02-26,26.76
2016-02-25,28.06
2016-02-24,31.18
2016-02-23,31.87
2016-02-22,32.12
2016-02-19,31.51
2016-02-18,31.62
2016-02-17,32.57
2016-02-16,32.12
2016-02-15,30.39
2016-02-05,30.7
2016-02-04,30.59
2016-02-03,29.63
2016-02-02,30.11
2016-02-01,29.48
2016-01-29,28.7
2016-01-28,27.42
2016-01-27,30.48
2016-01-26,30.61
2016-01-25,33.28
2016-01-22,32.96
2016-01-21,33.3
2016-01-20,35.72
2016-01-19,34.75
2016-01-18,34.17
2016-01-15,32.03
2016-01-14,31.6
2016-01-13,29.27
2016-01-12,32.45
2016-01-11,32.79
2016-01-08,36.44
2016-01-07,37.88
2016-01-06,42.09
2016-01-05,41.38
2016-01-04,45.97
