x,close
2016-12-30,10.71
2016-12-29,10.19
2016-12-28,10.17
2016-12-27,10.2
2016-12-26,10.3
2016-12-23,10.28
2016-12-22,10.27
2016-12-21,10.24
2016-12-20,10.2
2016-12-19,10.13
2016-12-16,10.23
2016-12-15,10.1
2016-12-14,9.91
2016-12-13,10.22
2016-12-12,10.2
2016-12-09,10.72
2016-12-08,10.72
2016-12-07,10.83
2016-12-06,10.71
2016-12-05,10.9
2016-12-02,11.05
2016-12-01,11.28
2016-11-30,11.31
2016-11-29,11.32
2016-11-28,11.39
2016-11-25,11.37
2016-11-24,11.45
2016-11-23,11.53
2016-11-22,11.7
2016-11-21,11.65
2016-11-18,11.65
2016-11-17,11.56
2016-11-16,11.55
2016-11-15,11.57
2016-11-14,11.65
2016-11-11,11.71
2016-11-10,11.76
2016-11-09,11.68
2016-11-08,11.88
2016-11-07,11.78
2016-11-04,11.52
2016-11-03,11.74
2016-11-02,11.81
2016-11-01,11.78
2016-10-31,11.82
2016-10-28,11.25
2016-10-27,11.44
2016-10-26,11.54
2016-10-25,11.6
2016-10-24,11.66
2016-10-21,11.71
2016-10-20,11.77
2016-10-19,11.63
2016-10-18,11.65
2016-10-17,11.41
2016-10-14,11.62
2016-10-13,11.77
2016-10-12,11.64
2016-10-11,11.79
2016-10-10,11.6
2016-09-30,11.35
2016-09-29,11.05
2016-09-28,11.26
2016-09-27,11.34
2016-09-26,11.31
2016-09-23,12.21
2016-09-22,12.15
2016-09-21,12.08
2016-09-20,12.49
2016-09-19,12.41
2016-09-14,12.16
2016-09-13,11.05
2016-09-12,10.64
2016-09-09,11.12
2016-09-08,11.45
2016-09-07,11.59
2016-09-06,11.75
2016-09-05,11.78
2016-09-02,11.36
2016-09-01,11.49
2016-08-31,11.52
2016-08-30,11.39
2016-08-29,11.0
2016-08-26,11.04
2016-08-25,11.18
2016-08-24,11.22
2016-08-23,10.74
2016-08-22,10.79
2016-08-19,11.07
2016-08-18,11.1
2016-08-17,11.07
2016-08-16,11.21
2016-08-15,10.86
2016-08-12,10.69
2016-08-11,10.49
2016-08-10,10.71
2016-08-09,10.67
2016-08-08,10.63
2016-08-05,10.47
2016-08-04,10.85
2016-08-03,10.8
2016-08-02,10.77
2016-08-01,10.63
2016-07-29,11.35
2016-07-28,11.74
2016-07-27,11.2
2016-07-26,12.04
2016-07-25,12.22
2016-07-22,11.12
2016-07-21,10.99
2016-07-20,11.18
2016-07-19,10.88
2016-07-18,10.81
2016-07-15,11.02
2016-07-14,10.97
2016-07-13,11.07
2016-07-12,10.49
2016-07-11,10.38
2016-07-08,10.39
2016-07-07,10.72
2016-07-06,10.86
2016-07-05,10.9
2016-07-04,11.03
2016-07-01,10.71
2016-06-30,10.7
2016-06-29,10.9
2016-06-28,11.16
2016-06-27,11.07
2016-06-24,10.77
2016-06-23,10.36
2016-06-22,10.64
2016-06-21,10.34
2016-06-20,10.85
2016-06-17,10.68
2016-06-16,10.96
2016-06-15,10.55
2016-06-14,9.99
2016-06-13,10.06
2016-06-08,11.14
2016-06-07,11.51
2016-06-06,11.27
2016-06-03,11.17
2016-06-02,11.57
2016-06-01,10.53
2016-05-31,9.85
2016-05-30,9.42
2016-05-27,9.66
2016-05-26,9.66
2016-05-25,9.73
2016-05-24,9.88
2016-05-23,9.35
2016-05-20,8.49
2016-05-19,8.44
2016-05-18,8.41
2016-05-17,8.69
2016-05-16,8.7
2016-05-13,8.59
2016-05-12,8.68
2016-05-11,8.6
2016-05-10,8.64
2016-05-09,8.75
2016-05-06,9.13
2016-05-05,9.58
2016-05-04,9.59
2016-05-03,9.43
2016-04-29,9.14
2016-04-28,9.19
2016-04-27,9.19
2016-04-26,9.31
2016-04-25,9.27
2016-04-22,9.35
2016-04-21,9.4
2016-04-20,9.53
2016-04-19,10.27
2016-04-18,10.27
2016-04-15,10.52
2016-04-14,10.63
2016-04-13,10.27
2016-04-12,10.23
2016-04-11,10.37
2016-04-08,10.06
2016-04-07,9.92
2016-04-06,10.17
2016-04-05,10.28
2016-04-01,9.73
2016-03-31,9.86
2016-03-30,9.88
2016-03-29,9.54
2016-03-28,9.85
2016-03-25,9.88
2016-03-24,9.8
2016-03-23,10.02
2016-03-22,9.96
2016-03-21,10.16
2016-03-18,9.63
2016-03-17,9.16
2016-03-16,8.75
2016-03-15,9.02
2016-03-14,9.13
2016-03-11,8.81
2016-03-10,8.64
2016-03-09,8.79
2016-03-08,9.04
2016-03-07,9.09
2016-03-04,8.91
2016-03-03,9.33
2016-03-02,9.18
2016-03-01,8.77
2016-02-29,8.44
2016-02-26,9.31
2016-02-25,9.42
2016-02-24,10.47
2016-02-23,10.5
2016-02-22,10.73
2016-02-19,10.51
2016-02-18,10.55
2016-02-17,10.66
2016-02-16,9.98
2016-02-15,9.61
2016-02-05,9.54
2016-02-04,9.81
2016-02-03,9.64
2016-02-02,9.77
2016-02-01,9.49
2016-01-29,9.77
2016-01-28,9.44
2016-01-27,9.37
2016-01-26,9.51
2016-01-25,10.54
2016-01-22,10.48
2016-01-21,10.28
2016-01-20,10.75
2016-01-19,11.07
2016-01-18,10.7
2016-01-15,10.65
2016-01-14,11.07
2016-01-13,10.71
2016-01-12,10.6
2016-01-11,10.49
2016-01-08,11.66
2016-01-07,11.58
2016-01-06,12.81
2016-01-05,12.61
2016-01-04,12.91
