x,volume
2016-12-30,2269566.0
2016-12-29,5847224.0
2016-12-28,3864803.0
2016-12-27,1808765.0
2016-12-26,2030739.0
2016-12-23,1511252.0
2016-12-22,1668428.0
2016-12-21,2645029.0
2016-12-20,2393732.0
2016-12-19,1382144.0
2016-12-16,1719569.0
2016-12-15,2709832.0
2016-12-14,2305226.0
2016-12-13,4047710.0
2016-12-12,5080720.0
2016-12-09,3311379.0
2016-12-08,1601559.0
2016-12-07,4335551.0
2016-12-06,3327627.0
2016-12-05,5188704.0
2016-12-02,4989640.0
2016-12-01,4238572.0
2016-11-30,3217963.0
2016-11-29,4002755.0
2016-11-28,5079145.0
2016-11-25,5154337.0
2016-11-24,4769467.0
2016-11-23,4251850.0
2016-11-22,4288409.0
2016-11-21,4022709.0
2016-11-18,5856174.0
2016-11-17,7090859.0
2016-11-16,5102509.0
2016-11-15,5970510.0
2016-11-14,4902222.0
2016-11-11,3351092.0
2016-11-10,4304403.0
2016-11-09,3881011.0
2016-11-08,3780501.0
2016-11-07,2988849.0
2016-11-04,4013750.0
2016-11-03,4497912.0
2016-11-02,4113877.0
2016-11-01,3008394.0
2016-10-31,3652699.0
2016-10-28,3582851.0
2016-10-27,5380830.0
2016-10-26,4943112.0
2016-10-25,5650935.0
2016-10-24,5522405.0
2016-10-21,4565576.0
2016-10-20,4573021.0
2016-10-19,2724260.0
2016-10-18,5145703.0
2016-10-17,7418780.0
2016-10-14,4851666.0
2016-10-13,10275267.0
2016-10-12,7129660.0
2016-10-11,6514433.0
2016-10-10,11402892.0
2016-09-30,4373094.0
2016-09-29,2860396.0
2016-09-28,2535439.0
2016-09-27,4030063.0
2016-09-26,5992262.0
2016-09-23,9123951.0
2016-09-22,5747227.0
2016-09-21,1494765.0
2016-09-20,1816546.0
2016-09-19,2448285.0
2016-09-14,2058013.0
2016-09-13,2241703.0
2016-09-12,4532464.0
2016-09-09,3918398.0
2016-09-08,2268605.0
2016-09-07,3818132.0
2016-09-06,5471755.0
2016-09-05,1932267.0
2016-09-02,4333052.0
2016-09-01,2705929.0
2016-08-31,3463179.0
2016-08-30,3473068.0
2016-08-29,3494895.0
2016-08-26,4905947.0
2016-08-25,9875499.0
2016-08-24,6341779.0
2016-08-23,10291358.0
2016-08-22,15355561.0
2016-08-19,4172355.0
2016-08-18,4317194.0
2016-08-17,6706532.0
2016-08-16,8414808.0
2016-08-15,7815183.0
2016-08-12,6106417.0
2016-08-11,4466424.0
2016-08-10,5275759.0
2016-08-09,4710273.0
2016-08-08,4459411.0
2016-08-05,4277756.0
2016-08-04,5622022.0
