x,volume
2016-12-30,14828654.0
2016-12-29,17910965.0
2016-12-28,6299588.0
2016-12-27,7734850.0
2016-12-26,9568661.0
2016-12-23,8271306.0
2016-12-22,7002887.0
2016-12-21,7346154.0
2016-12-20,7387651.0
2016-12-19,7619182.0
2016-12-16,13881935.0
2016-12-15,12505808.0
2016-12-14,12548337.0
2016-12-13,16201731.0
2016-12-12,37054242.0
2016-12-09,22397315.0
2016-12-08,12053260.0
2016-12-07,17295101.0
2016-12-06,24687833.0
2016-12-05,63333449.0
2016-12-02,22813411.0
2016-12-01,24673043.0
2016-11-30,29691182.0
2016-11-29,29404648.0
2016-11-28,46056135.0
2016-11-25,52201559.0
2016-11-24,93777033.0
2016-11-23,35524968.0
2016-11-22,76610554.0
2016-11-21,28449874.0
2016-11-18,13007271.0
2016-11-17,16606361.0
2016-11-16,20097287.0
2016-11-15,14941082.0
2016-11-14,21758495.0
2016-11-11,19086797.0
2016-11-10,14133785.0
2016-11-09,17453132.0
2016-11-08,13496569.0
2016-11-07,19280702.0
2016-11-04,35944379.0
2016-11-03,29534441.0
2016-11-02,18339758.0
2016-11-01,14060135.0
2016-10-31,17175617.0
2016-10-28,28016413.0
2016-10-27,27338508.0
2016-10-26,45431425.0
2016-10-25,18425408.0
2016-10-24,24973142.0
2016-10-21,16681787.0
2016-10-20,20642523.0
2016-10-19,13220043.0
2016-10-18,25058356.0
2016-10-17,25007778.0
2016-10-14,20305647.0
2016-10-13,29248567.0
2016-10-12,24876812.0
2016-10-11,30306989.0
2016-10-10,33748906.0
2016-09-30,23806579.0
2016-09-29,32491037.0
2016-09-28,22387614.0
2016-09-27,35019899.0
2016-09-26,21850443.0
2016-09-23,18215232.0
2016-09-22,14149339.0
2016-09-21,13184712.0
2016-09-20,9056247.0
2016-09-19,10772398.0
2016-09-14,14016807.0
2016-09-13,17240936.0
2016-09-12,30768994.0
2016-09-09,19724626.0
2016-09-08,21474021.0
2016-09-07,38641393.0
2016-09-06,30950388.0
2016-09-05,26795391.0
2016-09-02,17163000.0
2016-09-01,25200453.0
2016-08-31,19089084.0
2016-08-30,26952739.0
2016-08-29,17281704.0
2016-08-26,25644884.0
2016-08-25,33207222.0
2016-08-24,24035520.0
2016-08-23,45145522.0
2016-08-22,49713734.0
2016-08-19,48382136.0
2016-08-18,70628205.0
2016-08-17,62898713.0
2016-08-16,52855879.0
2016-08-15,91499822.0
2016-08-12,58843726.0
2016-08-11,65828319.0
2016-08-10,112416219.0
2016-08-09,69988701.0
2016-08-08,120468252.0
2016-08-05,115170664.0
2016-08-04,14791617.0
2016-08-03,11624815.0
2016-08-02,7223121.0
2016-08-01,13653497.0
2016-07-29,12159908.0
2016-07-28,14969129.0
