x,volume
2016-12-30,3404001.0
2016-12-29,3373813.0
2016-12-28,3766017.0
2016-12-27,3033697.0
2016-12-26,1999540.0
2016-12-23,2999552.0
2016-12-22,3318184.0
2016-12-21,2880975.0
2016-12-20,2454019.0
2016-12-19,1937568.0
2016-12-16,2605347.0
2016-12-15,6039746.0
2016-12-14,6761285.0
2016-12-13,2622826.0
2016-12-12,3640511.0
2016-12-09,1096144.0
2016-12-08,2007796.0
2016-12-07,1555772.0
2016-12-06,1918791.0
2016-12-05,1731632.0
2016-12-02,2530035.0
2016-12-01,1736308.0
2016-11-30,1976972.0
2016-11-29,4581322.0
2016-11-28,4359524.0
2016-11-25,3263062.0
2016-11-24,3706302.0
2016-11-23,5702961.0
2016-11-22,10014576.0
2016-11-21,5193028.0
2016-11-18,4595226.0
2016-11-17,4869454.0
2016-11-16,7098580.0
2016-11-15,3906245.0
2016-11-14,7197705.0
2016-11-11,4361777.0
2016-11-10,7212299.0
2016-11-09,5552634.0
2016-11-08,4441830.0
2016-11-07,7707235.0
2016-11-04,7638775.0
2016-11-03,13208780.0
2016-11-02,6090224.0
2016-11-01,10518054.0
2016-10-31,2661375.0
2016-10-28,5557516.0
2016-10-27,1936108.0
2016-10-26,4742500.0
2016-10-25,6169511.0
2016-10-24,6348267.0
2016-10-21,4657306.0
2016-10-20,3115160.0
2016-10-19,6138791.0
2016-10-18,5965143.0
2016-10-17,4604479.0
2016-10-14,5648153.0
2016-10-13,5614014.0
2016-10-12,2085277.0
2016-10-11,3487168.0
2016-10-10,2377687.0
2016-09-30,1254830.0
2016-09-29,1472752.0
2016-09-28,1198324.0
2016-09-27,1166130.0
2016-09-26,1994119.0
2016-09-23,1879661.0
2016-09-22,2959024.0
2016-09-21,1230936.0
2016-09-20,2325585.0
2016-09-19,1393339.0
2016-09-14,1937368.0
2016-09-13,2034547.0
2016-09-12,4807877.0
2016-09-09,4549614.0
2016-09-08,4279471.0
2016-09-07,3969936.0
2016-09-06,3497190.0
2016-09-05,2814562.0
2016-09-02,2879959.0
2016-09-01,3828136.0
2016-08-31,5391066.0
2016-08-30,8387220.0
2016-08-29,2577875.0
2016-08-26,3793648.0
2016-08-25,7610131.0
2016-08-24,6417198.0
2016-08-23,1243990.0
2016-08-22,1596740.0
2016-08-19,2033731.0
2016-08-18,2851496.0
2016-08-17,2202921.0
2016-08-16,2424999.0
2016-08-15,3139561.0
2016-08-12,1363264.0
2016-08-11,1910497.0
2016-08-10,1697081.0
2016-08-09,2106214.0
2016-08-08,2363486.0
2016-08-05,1409600.0
2016-08-04,1800072.0
2016-08-03,1426331.0
2016-08-02,1567981.0
2016-08-01,3248461.0
2016-07-29,1565820.0
2016-07-28,2507795.0
2016-07-27,5371804.0
2016-07-26,2632260.0
2016-07-25,4356080.0
2016-07-22,5490323.0
2016-07-21,11578021.0
2016-07-20,10997191.0
2016-07-19,3021817.0
2016-07-18,6421189.0
2016-07-15,9193819.0
2016-07-14,2166909.0
2016-07-13,3464125.0
2016-07-12,3364894.0
2016-07-11,3051282.0
2016-07-08,3971565.0
2016-07-07,5516180.0
2016-07-06,6112238.0
2016-07-05,12449769.0
2016-07-04,0.0
2016-07-01,0.0
2016-06-30,0.0
2016-06-29,0.0
2016-06-28,0.0
2016-06-27,0.0
2016-06-24,0.0
2016-06-23,0.0
2016-06-22,0.0
2016-06-21,8675226.0
2016-06-20,5427077.0
2016-06-17,2320341.0
2016-06-16,2436464.0
2016-06-15,2936420.0
2016-06-14,1878813.0
2016-06-13,2596470.0
2016-06-08,2563836.0
2016-06-07,2340215.0
2016-06-06,2217062.0
2016-06-03,3456879.0
2016-06-02,2734406.0
2016-06-01,3057435.0
2016-05-31,3592886.0
2016-05-30,1737399.0
2016-05-27,2531684.0
2016-05-26,1983398.0
2016-05-25,1510762.0
2016-05-24,1627250.0
2016-05-23,2186243.0
