x,volume
2016-12-30,813093.0
2016-12-29,1057396.0
2016-12-28,1068285.0
2016-12-27,1234162.0
2016-12-26,1989563.0
2016-12-23,3057991.0
2016-12-22,2366709.0
2016-12-21,4709552.0
2016-12-20,1656248.0
2016-12-19,3333571.0
2016-12-16,1202413.0
2016-12-15,1134304.0
2016-12-14,1291841.0
2016-12-13,2124477.0
2016-12-12,2813514.0
2016-12-09,1409690.0
2016-12-08,1172561.0
2016-12-07,1683160.0
2016-12-06,941702.0
2016-12-05,1211617.0
2016-12-02,2124194.0
2016-12-01,2035499.0
2016-11-30,1648245.0
2016-11-29,2440055.0
2016-11-28,2320131.0
2016-11-25,3073940.0
2016-11-24,3576815.0
2016-11-23,4712656.0
2016-11-22,5619296.0
2016-11-21,6924229.0
2016-11-18,7090199.0
2016-11-17,1612957.0
2016-11-16,2609265.0
2016-11-15,2501398.0
2016-11-14,3187442.0
2016-11-11,4575825.0
2016-11-10,4206179.0
2016-11-09,2877864.0
2016-11-08,2288234.0
2016-11-07,3842228.0
2016-11-04,5130852.0
2016-11-03,2958994.0
2016-11-02,3335436.0
2016-11-01,3432375.0
2016-10-31,1034388.0
2016-10-28,1529289.0
2016-10-27,899073.0
2016-10-26,1424105.0
2016-10-25,1376717.0
2016-10-24,2366720.0
2016-10-21,3445452.0
2016-10-20,2145848.0
2016-10-19,1200856.0
2016-10-18,1336539.0
2016-10-17,945020.0
2016-10-14,1231894.0
2016-10-13,1720547.0
2016-10-12,2112062.0
2016-10-11,1945907.0
2016-10-10,1418499.0
2016-09-30,957182.0
2016-09-29,598927.0
2016-09-28,540649.0
2016-09-27,631541.0
2016-09-26,1225393.0
2016-09-23,954950.0
2016-09-22,915707.0
2016-09-21,535757.0
2016-09-20,443042.0
2016-09-19,652989.0
2016-09-14,785814.0
2016-09-13,976643.0
2016-09-12,1440766.0
2016-09-09,1421387.0
2016-09-08,1409242.0
2016-09-07,2827062.0
2016-09-06,3805980.0
2016-09-05,1710208.0
2016-09-02,1263583.0
2016-09-01,1183535.0
2016-08-31,677720.0
2016-08-30,803220.0
2016-08-29,1260342.0
2016-08-26,1211615.0
2016-08-25,1598728.0
2016-08-24,1950061.0
2016-08-23,942059.0
2016-08-22,1053694.0
2016-08-19,973033.0
2016-08-18,1146241.0
2016-08-17,1262900.0
2016-08-16,1412407.0
2016-08-15,1603760.0
2016-08-12,573320.0
2016-08-11,747370.0
2016-08-10,812600.0
2016-08-09,787858.0
2016-08-08,879178.0
2016-08-05,742102.0
2016-08-04,701801.0
2016-08-03,766225.0
2016-08-02,532537.0
2016-08-01,1479235.0
2016-07-29,1671401.0
2016-07-28,1074275.0
2016-07-27,2519527.0
2016-07-26,1673142.0
2016-07-25,919200.0
2016-07-22,1271362.0
2016-07-21,1311189.0
2016-07-20,1036381.0
2016-07-19,1332141.0
2016-07-18,1450343.0
2016-07-15,1351469.0
2016-07-14,1372496.0
2016-07-13,1941848.0
2016-07-12,3128778.0
2016-07-11,2945107.0
2016-07-08,3165574.0
2016-07-07,4652359.0
2016-07-06,7154243.0
2016-07-05,3875369.0
2016-07-04,2504104.0
2016-07-01,1652342.0
2016-06-30,2374258.0
2016-06-29,2154026.0
2016-06-28,2952194.0
2016-06-27,1519137.0
2016-06-24,1949381.0
2016-06-23,1457585.0
2016-06-22,1411363.0
2016-06-21,1921263.0
2016-06-20,1652550.0
2016-06-17,1165929.0
2016-06-16,1491001.0
2016-06-15,1691614.0
2016-06-14,1263833.0
2016-06-13,2274130.0
2016-06-08,1964436.0
2016-06-07,2732246.0
2016-06-06,1886609.0
2016-06-03,2492416.0
2016-06-02,3031889.0
2016-06-01,2262041.0
2016-05-31,2383242.0
2016-05-30,948471.0
2016-05-27,1394142.0
2016-05-26,1409880.0
2016-05-25,1152811.0
2016-05-24,1275306.0
2016-05-23,1842931.0
2016-05-20,1048273.0
2016-05-19,1692188.0
2016-05-18,1535243.0
2016-05-17,1288605.0
2016-05-16,1078352.0
2016-05-13,1063333.0
2016-05-12,1648000.0
2016-05-11,1164232.0
2016-05-10,1235354.0
2016-05-09,2347185.0
2016-05-06,2758970.0
2016-05-05,2800925.0
2016-05-04,2277799.0
2016-05-03,1610471.0
2016-04-29,1112784.0
2016-04-28,1506102.0
2016-04-27,1751471.0
2016-04-26,2899929.0
2016-04-25,1567924.0
2016-04-22,1744569.0
2016-04-21,2810512.0
2016-04-20,6428799.0
2016-04-19,2064551.0
2016-04-18,3303521.0
2016-04-15,5456275.0
2016-04-14,4817914.0
2016-04-13,4088928.0
2016-04-12,3442255.0
2016-04-11,4259876.0
2016-04-08,2736576.0
2016-04-07,2754809.0
2016-04-06,3460606.0
2016-04-05,2684479.0
2016-04-01,2281050.0
2016-03-31,2537653.0
2016-03-30,2186237.0
2016-03-29,2310985.0
2016-03-28,2551081.0
2016-03-25,2876741.0
2016-03-24,5008334.0
2016-03-23,5328834.0
2016-03-22,4977058.0
2016-03-21,4573351.0
2016-03-18,4301828.0
2016-03-17,3249520.0
2016-03-16,2411864.0
2016-03-15,2366576.0
2016-03-14,3549982.0
2016-03-11,3395974.0
2016-03-10,5339360.0
2016-03-09,0.0
2016-03-08,0.0
2016-03-07,0.0
2016-03-04,0.0
2016-03-03,0.0
2016-03-02,0.0
2016-03-01,0.0
2016-02-29,0.0
2016-02-26,0.0
2016-02-25,0.0
2016-02-24,0.0
2016-02-23,0.0
2016-02-22,0.0
2016-02-19,0.0
2016-02-18,0.0
2016-02-17,0.0
2016-02-16,0.0
2016-02-15,0.0
2016-02-05,2463624.0
2016-02-04,4093524.0
2016-02-03,1831082.0
2016-02-02,2384723.0
2016-02-01,2888261.0
2016-01-29,4253079.0
2016-01-28,6294009.0
2016-01-27,4276205.0
2016-01-26,3565504.0
2016-01-25,2571635.0
2016-01-22,2362235.0
2016-01-21,3255473.0
2016-01-20,4860303.0
2016-01-19,2552568.0
2016-01-18,2198318.0
2016-01-15,2409580.0
2016-01-14,2131812.0
2016-01-13,1951588.0
2016-01-12,2091616.0
2016-01-11,2935701.0
2016-01-08,3675628.0
2016-01-07,713100.0
2016-01-06,3230994.0
2016-01-05,3886303.0
2016-01-04,2282941.0
2015-12-31,2603960.0
2015-12-30,2331147.0
2015-12-29,2598389.0
2015-12-28,6182289.0
2015-12-25,4408186.0
2015-12-24,6911462.0
2015-12-23,5337020.0
2015-12-22,4464985.0
2015-12-21,6280679.0
2015-12-18,9983047.0
2015-12-17,8837538.0
2015-12-16,4190619.0
2015-12-15,3836220.0
2015-12-14,2732792.0
2015-12-11,3561202.0
2015-12-10,4329062.0
2015-12-09,5462496.0
2015-12-08,7632670.0
2015-12-07,10359218.0
2015-12-04,13530280.0
2015-12-03,9662761.0
2015-12-02,7041381.0
2015-12-01,8712077.0
2015-11-30,5491606.0
2015-11-27,6606602.0
2015-11-26,7128487.0
2015-11-25,5499261.0
2015-11-24,6080765.0
2015-11-23,5275733.0
2015-11-20,5988861.0
2015-11-19,5650981.0
2015-11-18,5525552.0
2015-11-17,7819579.0
2015-11-16,7639998.0
2015-11-13,15633265.0
2015-11-12,12846673.0
2015-11-11,9581681.0
2015-11-10,8729685.0
2015-11-09,12373388.0
2015-11-06,10065185.0
2015-11-05,11983684.0
2015-11-04,19652356.0
2015-11-03,7088515.0
