x,volume
2016-12-30,690436.0
2016-12-29,976901.0
2016-12-28,1135309.0
2016-12-27,1183114.0
2016-12-26,1280400.0
2016-12-23,1721005.0
2016-12-22,4085383.0
2016-12-21,1643900.0
2016-12-20,1360221.0
2016-12-19,1600700.0
2016-12-16,1803309.0
2016-12-15,2667771.0
2016-12-14,2462003.0
2016-12-13,4143034.0
2016-12-12,5921100.0
2016-12-09,0.0
2016-12-08,0.0
2016-12-07,7366297.0
2016-12-06,3274645.0
2016-12-05,6253215.0
2016-12-02,4140095.0
2016-12-01,10051574.0
2016-11-30,2658842.0
2016-11-29,5183327.0
2016-11-28,5318462.0
2016-11-25,9992321.0
2016-11-24,6052888.0
2016-11-23,12653081.0
2016-11-22,17451146.0
2016-11-21,13629149.0
2016-11-18,3553741.0
2016-11-17,4539287.0
2016-11-16,6178273.0
2016-11-15,3067518.0
2016-11-14,3758378.0
2016-11-11,4737087.0
2016-11-10,2099938.0
2016-11-09,2727145.0
2016-11-08,3616453.0
2016-11-07,2345413.0
2016-11-04,3525447.0
2016-11-03,4206374.0
2016-11-02,4780814.0
2016-11-01,5997330.0
2016-10-31,7301245.0
2016-10-28,16841827.0
2016-10-27,13697283.0
2016-10-26,4427734.0
2016-10-25,10541634.0
2016-10-24,14089732.0
2016-10-21,3349469.0
2016-10-20,3928054.0
2016-10-19,2636153.0
2016-10-18,967542.0
2016-10-17,1142296.0
2016-10-14,862439.0
2016-10-13,791236.0
2016-10-12,1319177.0
2016-10-11,2709544.0
2016-10-10,853218.0
2016-09-30,485635.0
2016-09-29,745069.0
2016-09-28,1135863.0
2016-09-27,749644.0
2016-09-26,964883.0
2016-09-23,751437.0
2016-09-22,793346.0
2016-09-21,748274.0
2016-09-20,905564.0
2016-09-19,879949.0
2016-09-14,1307625.0
2016-09-13,1026207.0
2016-09-12,2087700.0
2016-09-09,1375865.0
2016-09-08,1289224.0
2016-09-07,2014299.0
2016-09-06,3660100.0
2016-09-05,2146239.0
2016-09-02,4549192.0
2016-09-01,1412948.0
2016-08-31,2826654.0
2016-08-30,1353661.0
2016-08-29,907556.0
2016-08-26,1810303.0
2016-08-25,1789806.0
2016-08-24,1220291.0
2016-08-23,1920829.0
2016-08-22,2109032.0
2016-08-19,3770733.0
2016-08-18,4346322.0
2016-08-17,3967496.0
2016-08-16,7683786.0
2016-08-15,6870326.0
2016-08-12,2561702.0
2016-08-11,868175.0
2016-08-10,1315070.0
2016-08-09,2429992.0
2016-08-08,1725154.0
2016-08-05,1829584.0
2016-08-04,2247983.0
2016-08-03,894188.0
2016-08-02,959263.0
2016-08-01,2302079.0
2016-07-29,2187707.0
2016-07-28,1285529.0
2016-07-27,3125121.0
2016-07-26,3077452.0
2016-07-25,5054506.0
2016-07-22,1092069.0
2016-07-21,1210785.0
2016-07-20,1077632.0
2016-07-19,1137764.0
2016-07-18,1630298.0
2016-07-15,1557992.0
2016-07-14,3114767.0
2016-07-13,2159279.0
2016-07-12,1656570.0
2016-07-11,2380851.0
2016-07-08,3726614.0
2016-07-07,1541790.0
2016-07-06,1616492.0
2016-07-05,1831369.0
2016-07-04,2107980.0
2016-07-01,1140851.0
2016-06-30,1703938.0
2016-06-29,2033425.0
2016-06-28,3774513.0
2016-06-27,1119014.0
2016-06-24,1479300.0
2016-06-23,824248.0
