,0
0,-0.05694554999999982
1,-0.19902760999999988
2,-0.4488514100000002
3,-0.36142890999999994
4,-0.17023785999999974
5,-0.25351050000000047
6,0.4428831200000006
7,-0.36042719000000006
8,-0.24067248000000044
9,-0.22086513
10,0.36663226999999954
11,-0.39967965999999994
12,0.43198429000000027
13,-0.0785344399999997
14,-0.24577869000000005
15,-0.0019796800000000513
16,-0.21769902999999968
17,-0.16178398
18,-0.19766798000000033
19,-0.2751349299999996
20,-0.44415363000000013
21,-0.2581810000000002
22,0.76631743
23,-0.25905874
24,-0.3574254000000001
25,-0.3246965700000004
26,-0.5979478800000001
27,-0.14329166000000074
28,-0.28643346
29,-0.44835197
30,-0.3487460500000004
31,-0.03139791999999981
32,-0.2741748500000002
33,-0.5110027500000001
34,-0.3754669799999996
35,-0.11735895000000042
36,-0.08698485000000045
37,-0.2372000800000003
38,0.040361930000000636
39,-0.16743468000000006
40,-0.10935720999999997
41,-0.40147572
42,-0.10104802999999979
43,-0.42665197000000066
44,-0.2885281200000002
45,0.7098588899999997
46,-0.08664728999999981
47,0.06704459000000008
48,-0.3403122300000001
49,-0.04144971000000066
50,-0.4297270699999998
51,0.3039101900000004
52,-0.03900261000000033
53,-0.06406823999999987
54,-0.4824863799999997
55,-0.1491504400000002
56,-0.47348281000000003
57,-0.5313527000000005
58,-0.04174848999999953
59,0.08753818000000017
60,0.060549450000000185
61,-0.6014747299999995
62,-0.2997790599999997
63,-0.5124724899999998
64,0.44109911000000035
65,0.21246773000000044
66,0.10747466999999923
67,0.3353691299999994
68,-0.31770685999999987
69,-0.08564575000000035
70,-0.45803976000000013
71,-0.01653334000000055
72,-0.1080037699999999
73,-0.5917622899999998
74,-0.41970992000000085
75,-0.44734342000000027
76,-0.19354370999999868
