,0
0,-0.18837843000000004
1,-0.06293700000000012
2,-0.1182062599999999
3,-0.19721405999999983
4,-0.02713604000000004
5,-0.20407198
6,0.06803385000000009
7,-0.16618914
8,-0.17464899000000023
9,-0.29040091
10,-0.2820839399999999
11,-0.1771617400000001
12,-0.05714280000000005
13,-0.011131679999999936
14,-0.11641069000000007
15,-0.2656241400000001
16,-0.005547969999999972
17,0.12084176000000024
18,-0.030959699999999955
19,-0.2907810299999999
20,0.13578983999999986
21,-0.4165246400000002
22,0.68739234
23,-0.20680209999999985
24,-0.21511129999999992
25,-0.2942153899999998
26,-0.12399833999999997
27,-0.0421885
28,-0.26196233999999985
29,-0.42901129000000027
30,-0.15240351000000013
31,-0.09437987999999989
32,-0.26055584999999987
33,-0.1906517100000002
34,-0.26108409
35,-0.2728844300000002
36,-0.06433672000000008
37,0.0
38,0.37180377000000003
39,0.21973727
40,-0.19603487
41,0.07705406000000005
42,-0.007709940000000061
43,-0.12043612000000012
44,-0.10027344999999983
45,0.17223143999999996
46,-0.43594216
47,-0.06017803000000003
48,-0.29997460999999986
49,0.042838729999999985
50,-0.08394838999999978
51,0.3104434800000002
52,0.01647705999999994
53,-0.020039939999999944
54,-0.18963197999999987
55,-0.11246364000000013
56,-0.16579788000000012
57,-0.16812828999999968
58,0.41830179999999983
59,0.25812625
60,-0.013538880000000005
61,-0.03736635000000009
62,-0.12169365999999991
63,0.2024386599999999
64,0.002508859999999986
65,0.9072283700000006
66,-0.17444294999999985
67,0.11121064000000012
68,-0.11540672999999999
69,-0.20326005999999983
70,-0.051226429999999934
71,0.18612794000000019
72,0.27749417000000015
73,-0.18802012000000012
74,0.1754343799999999
75,-0.24931641000000004
76,0.04262664000000013
