x,close
2015-12-30,10.79
2015-12-29,10.79
2015-12-28,10.79
2015-12-25,10.79
2015-12-24,10.79
2015-12-23,10.79
2015-12-22,10.79
2015-12-21,10.79
2015-12-18,10.79
2015-12-17,10.79
2015-12-16,10.79
2015-12-15,10.79
2015-12-14,10.79
2015-12-11,10.79
2015-12-10,10.79
2015-12-09,10.79
2015-12-08,10.79
2015-12-07,10.79
2015-12-04,10.79
2015-12-03,10.79
2015-12-02,10.79
2015-12-01,10.79
2015-11-30,10.79
2015-11-27,10.79
2015-11-26,10.79
2015-11-25,10.79
2015-11-24,10.79
2015-11-23,10.79
2015-11-20,10.79
2015-11-19,10.79
2015-11-18,10.79
2015-11-17,10.79
2015-11-16,10.79
2015-11-13,10.79
2015-11-12,10.79
2015-11-11,10.79
2015-11-10,10.79
2015-11-09,10.79
2015-11-06,10.79
2015-11-05,10.79
2015-11-04,10.79
2015-11-03,10.79
2015-11-02,10.79
2015-10-30,10.79
2015-10-29,10.79
2015-10-28,10.79
2015-10-27,10.79
2015-10-26,10.79
2015-10-23,10.79
2015-10-22,10.79
2015-10-21,10.79
2015-10-20,10.79
2015-10-19,10.79
2015-10-16,10.79
2015-10-15,10.79
2015-10-14,10.79
2015-10-13,10.79
2015-10-12,10.79
2015-10-09,10.79
2015-10-08,10.79
2015-09-30,10.3
2015-09-29,10.1
2015-09-28,10.38
2015-09-25,10.21
2015-09-24,11.2
2015-09-23,10.79
2015-09-22,10.74
2015-09-21,10.66
2015-09-18,10.08
2015-09-17,9.76
2015-09-16,9.98
2015-09-15,9.07
2015-09-14,10.07
2015-09-11,11.19
2015-09-10,11.17
2015-09-09,11.75
2015-09-08,11.22
2015-09-07,10.52
2015-09-02,10.17
2015-09-01,10.01
2015-08-31,11.12
2015-08-28,11.79
2015-08-27,10.72
2015-08-26,10.07
2015-08-25,11.08
2015-08-24,12.3
2015-08-21,13.67
2015-08-20,14.97
2015-08-19,16.59
2015-08-18,16.42
2015-08-17,18.24
2015-08-14,16.6
2015-08-13,16.36
2015-08-12,15.94
2015-08-11,15.35
2015-08-10,15.19
2015-08-07,14.33
2015-08-06,13.74
2015-08-05,14.11
2015-08-04,14.44
2015-08-03,13.58
2015-07-31,15.09
2015-07-30,14.46
2015-07-29,14.72
2015-07-28,13.38
2015-07-27,13.39
2015-07-24,14.88
2015-07-23,15.47
2015-07-22,15.2
2015-07-21,13.81
2015-07-20,13.76
2015-07-17,13.66
2015-07-16,12.68
2015-07-15,12.38
2015-07-14,13.75
2015-07-13,14.03
2015-07-10,12.75
2015-07-09,11.59
2015-07-08,10.54
2015-07-07,11.71
2015-07-06,13.0
2015-07-03,11.97
2015-07-02,12.91
2015-07-01,14.34
2015-06-30,15.8
2015-06-29,14.68
2015-06-26,16.3
2015-06-25,18.11
2015-06-24,19.18
2015-06-23,18.48
2015-06-19,19.12
2015-06-18,21.06
2015-06-17,22.44
2015-06-16,22.08
2015-06-15,23.78
2015-06-12,24.73
2015-06-11,24.28
2015-06-10,23.3
2015-06-09,23.59
2015-06-08,22.74
2015-06-05,22.4
2015-06-04,22.25
2015-06-03,23.22
2015-06-02,23.69
2015-06-01,22.54
2015-05-29,21.55
2015-05-28,22.06
2015-05-27,24.39
2015-05-26,23.1
2015-05-25,22.52
2015-05-22,21.43
2015-05-21,21.59
2015-05-20,21.6
2015-05-19,21.97
2015-05-18,21.6
2015-05-15,21.56
2015-05-14,21.55
2015-05-13,21.75
2015-05-12,22.42
2015-05-11,21.01
2015-05-08,20.44
2015-05-07,20.26
2015-05-06,18.87
2015-05-05,19.68
2015-05-04,20.58
2015-04-30,18.93
2015-04-29,17.92
2015-04-28,17.87
2015-04-27,18.33
2015-04-24,17.64
2015-04-23,18.03
2015-04-22,18.51
2015-04-21,17.68
2015-04-20,16.97
2015-04-17,18.18
2015-04-16,18.17
2015-04-15,17.54
2015-04-14,18.71
2015-04-13,19.39
2015-04-10,18.66
2015-04-09,17.24
2015-04-08,16.72
2015-04-07,17.45
2015-04-03,17.12
2015-04-02,16.69
2015-04-01,16.72
2015-03-31,15.74
2015-03-30,15.27
2015-03-27,15.2
2015-03-26,15.15
2015-03-25,14.27
2015-03-24,14.54
2015-03-23,14.82
2015-03-20,14.82
2015-03-19,14.81
2015-03-18,14.38
2015-03-17,14.29
2015-03-16,14.22
2015-03-13,13.81
2015-03-12,13.82
2015-03-11,13.99
2015-03-10,13.99
2015-03-09,13.85
2015-03-06,13.99
2015-03-05,13.45
2015-03-04,13.06
2015-03-03,13.04
2015-03-02,13.47
2015-02-27,13.33
2015-02-26,13.21
2015-02-25,12.89
2015-02-17,13.05
2015-02-16,13.0
2015-02-13,12.95
2015-02-12,12.32
2015-02-11,12.63
2015-02-10,12.78
2015-02-09,12.53
2015-02-06,12.39
2015-02-05,12.89
2015-02-04,12.95
2015-02-03,13.46
2015-02-02,13.34
2015-01-30,13.56
2015-01-29,14.01
2015-01-28,14.35
2015-01-27,14.46
2015-01-26,13.58
2015-01-23,13.53
2015-01-22,13.45
2015-01-21,13.64
2015-01-20,13.06
2015-01-19,13.42
2015-01-16,14.92
2015-01-15,15.09
2015-01-14,14.94
2015-01-13,15.21
2015-01-12,14.83
2015-01-09,14.05
2015-01-08,13.89
2015-01-07,14.59
2015-01-06,13.87
2015-01-05,13.65
2014-12-31,14.49
2014-12-30,14.25
2014-12-29,14.86
2014-12-26,14.62
2014-12-25,14.52
2014-12-24,13.21
2014-12-23,13.33
2014-12-22,12.7
2014-12-19,13.12
2014-12-18,12.09
2014-12-17,12.67
2014-12-16,12.48
2014-12-15,11.61
2014-12-12,11.07
2014-12-11,10.97
2014-12-10,11.26
2014-12-09,10.91
2014-12-08,12.03
2014-12-05,11.71
2014-12-04,11.71
2014-12-03,10.72
2014-12-02,10.83
2014-12-01,10.28
2014-11-28,10.52
2014-11-27,10.43
2014-11-26,9.91
2014-11-25,9.82
2014-11-24,9.7
2014-11-21,9.36
2014-11-20,9.19
2014-11-19,9.04
2014-11-18,9.11
2014-11-17,8.98
2014-11-14,9.07
2014-11-13,9.31
2014-11-12,9.16
2014-11-11,9.08
2014-11-10,9.17
2014-11-07,9.11
2014-11-06,9.2
2014-11-05,9.16
2014-11-04,8.82
2014-11-03,8.97
2014-10-31,8.95
2014-10-30,8.85
2014-10-29,8.79
2014-10-28,8.69
2014-10-27,8.51
2014-10-24,8.44
2014-10-23,8.58
2014-10-22,8.71
2014-10-21,8.85
2014-10-20,8.95
2014-10-17,8.83
2014-10-16,8.95
2014-10-15,9.25
2014-10-14,9.17
2014-10-13,9.22
2014-10-10,9.28
