x,close
2015-12-30,8.5
2015-12-29,8.6
2015-12-28,8.44
2015-12-25,8.65
2015-12-24,8.59
2015-12-23,8.74
2015-12-22,8.85
2015-12-21,8.89
2015-12-18,8.72
2015-12-17,8.44
2015-12-16,8.16
2015-12-15,8.25
2015-12-14,8.29
2015-12-11,7.98
2015-12-10,8.07
2015-12-09,8.22
2015-12-08,8.54
2015-12-07,8.2
2015-12-04,8.18
2015-12-03,8.5
2015-12-02,8.47
2015-12-01,8.23
2015-11-30,7.94
2015-11-27,8.08
2015-11-26,8.78
2015-11-25,8.89
2015-11-24,8.78
2015-11-23,8.93
2015-11-20,9.11
2015-11-19,9.15
2015-11-18,8.96
2015-11-17,9.22
2015-11-16,9.22
2015-11-13,9.45
2015-11-12,9.44
2015-11-11,9.51
2015-11-10,9.51
2015-11-09,9.71
2015-11-06,9.7
2015-11-05,9.64
2015-11-04,8.93
2015-11-03,8.55
2015-11-02,8.54
2015-10-30,8.8
2015-10-29,8.8
2015-10-28,8.73
2015-10-27,8.92
2015-10-26,9.04
2015-10-23,9.25
2015-10-22,9.31
2015-10-21,8.47
2015-10-20,8.98
2015-10-19,8.86
2015-10-16,8.64
2015-10-15,8.18
2015-10-14,7.97
2015-10-13,8.24
2015-10-12,8.21
2015-10-09,7.8
2015-10-08,7.65
2015-09-30,7.42
2015-09-29,7.3
2015-09-28,7.52
2015-09-25,7.44
2015-09-24,7.77
2015-09-23,7.71
2015-09-22,8.02
2015-09-21,7.68
2015-09-18,7.38
2015-09-17,7.32
2015-09-16,7.69
2015-09-15,7.1
2015-09-14,7.87
2015-09-11,8.11
2015-09-10,8.08
2015-09-09,8.22
2015-09-08,8.1
2015-09-07,7.93
2015-09-02,8.46
2015-09-01,7.89
2015-08-31,7.62
2015-08-28,7.71
2015-08-27,7.08
2015-08-26,6.74
2015-08-25,7.49
2015-08-24,8.32
2015-08-21,9.24
2015-08-20,10.15
2015-08-19,10.87
2015-08-18,10.68
2015-08-17,11.87
2015-08-14,10.93
2015-08-13,11.05
2015-08-12,10.75
2015-08-11,11.32
2015-08-10,12.04
2015-08-07,11.23
2015-08-06,10.96
2015-08-05,11.35
2015-08-04,12.09
2015-08-03,11.06
2015-07-31,11.57
2015-07-30,12.85
2015-07-29,14.27
2015-07-28,15.07
2015-07-27,15.07
2015-07-24,15.07
2015-07-23,15.07
2015-07-22,15.07
2015-07-21,15.07
2015-07-20,15.07
2015-07-17,15.07
2015-07-16,15.07
2015-07-15,15.07
2015-07-14,15.07
2015-07-13,15.07
2015-07-10,15.07
2015-07-09,15.07
2015-07-08,15.07
2015-07-07,15.07
2015-07-06,15.07
2015-07-03,15.07
2015-07-02,15.07
2015-07-01,15.07
2015-06-30,15.07
2015-06-29,15.07
2015-06-26,13.69
